q1	q2	same	selected
70	77	n	n
71	81	y	n
71	64	n	n
71	8	n	n
72	91	n	n
73	91	n	n
73	36	n	n
73	48	n	n
73	72	n	n
74	82	y	n
74	75	n	n
74	72	n	n
74	91	n	n
74	11	n	n
75	94	y	n
75	83	y	n
75	23	n	n
75	8	n	n
76	93	y	n
76	27	n	n
76	64	n	n
76	70	n	n
77	96	n	n
77	86	n	n
78	87	y	n
78	97	n	n
78	26	n	n
78	95	y	n
78	27	n	n
78	5	n	n
78	68	n	n
78	46	n	n
78	30	n	n
79	83	n	n
79	48	n	n
80	97	n	n
80	87	n	n
81	64	n	n
81	3	n	n
82	2	n	n
82	11	n	n
82	91	n	n
82	61	n	n
83	94	n	n
84	26	n	n
84	39	n	n
84	87	n	n
85	20	n	n
85	59	n	n
85	100	n	n
85	25	n	n
86	96	n	n
86	65	y	n
86	6	n	n
86	98	n	n
86	45	n	n
86	18	n	n
86	99	n	n
87	95	y	n
87	97	n	n
88	2	n	n
88	72	n	n
88	91	n	n
89	80	n	n
89	97	n	n
89	39	n	n
89	26	n	n
90	5	n	n
90	58	n	n
90	56	n	n
92	23	y	y
92	75	n	n
92	74	n	n
92	94	n	n
92	13	n	n
92	53	n	n
93	27	n	n
93	88	n	n
93	70	n	n
94	8	n	n
94	66	n	n
94	6	n	n
94	74	n	n
95	80	n	n
95	39	n	n
95	60	n	n
95	26	n	n
95	97	n	n
97	5	n	n
98	66	n	n
98	8	n	n
98	70	n	n
98	43	n	n
98	79	n	n
99	8	n	n
100	36	n	n
100	11	n	n
100	91	n	n
100	61	n	n
100	51	n	n
